epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.60147,4.54109,5.1929,2.2058,0,0,0,0,3.43721,4.94231,1.34991,0.1,0,0
2,2.81271,4.10556,4.98182,1.84467,0,0,0,0,3.1223,4.8734,1.23994,0.0990098,9.802e-06,9.802e-06
3,3.93364,3.79323,4.85665,1.55257,0,0,0,0,3.13294,4.8047,1.25408,0.0980192,1.9208e-05,1.9208e-05
4,5.12631,3.59915,4.7706,1.38692,0,0,0,0,3.12447,4.72959,1.20802,0.0970282,2.8218e-05,2.8218e-05
5,6.06049,3.13414,4.70918,1.37753,0,0,0,0,3.00566,4.67171,1.19835,0.0960368,3.6832e-05,3.6832e-05
6,7.05134,3.15937,4.60473,1.21764,0,0,0,0,2.94766,4.61373,1.22192,0.0950451,4.505e-05,4.505e-05
7,8.00068,2.80485,4.54473,1.22409,0,0,0,0,2.92465,4.55076,1.25369,0.0940529,5.2872e-05,5.2872e-05
8,8.92864,2.75488,4.47505,1.28063,0,0,0,0,2.97891,4.49233,1.30028,0.0930603,6.0298e-05,6.0298e-05
9,9.93062,2.50802,4.38147,1.25545,0,0,0,0,3.13197,4.43623,1.39978,0.0920673,6.7328e-05,6.7328e-05
10,10.8644,2.54824,4.28854,1.19356,0,0,0,0,3.26978,4.37511,1.51534,0.091074,7.3962e-05,7.3962e-05
11,11.8561,2.73658,4.22656,1.15498,0,0,0,0,3.34639,4.31233,1.58669,0.0900802,8.02e-05,8.02e-05
12,12.8933,2.4583,4.11006,1.20545,0,0,0,0,3.49019,4.24787,1.67417,0.089086,8.6042e-05,8.6042e-05
13,13.8239,2.79525,4.06674,1.16222,0,0,0,0,3.56894,4.18274,1.71056,0.0880915,9.1488e-05,9.1488e-05
14,14.8329,2.7381,3.97269,1.13371,0,0,0,0,3.47374,4.11503,1.64561,0.0870965,9.6538e-05,9.6538e-05
15,15.8208,2.59102,3.83956,1.14044,0,0,0,0,3.1899,4.04182,1.45913,0.0861012,0.000101192,0.000101192
16,16.8704,2.68994,3.78653,1.12275,0,0,0,0,2.83924,3.96998,1.27478,0.0851054,0.00010545,0.00010545
17,17.897,2.42098,3.68383,1.14155,0,0,0,0,2.59889,3.90589,1.16321,0.0841093,0.000109312,0.000109312
18,18.8004,2.4039,3.60944,1.16928,0,0,0,0,2.59889,3.90589,1.16321,0.0831128,0.000112778,0.000112778
19,19.8658,2.44301,3.61241,1.13074,0,0,0,0,2.45386,3.84774,1.10225,0.0821158,0.000115848,0.000115848
20,20.8873,2.58652,3.57894,1.0423,0,0,0,0,2.45386,3.84774,1.10225,0.0811185,0.000118522,0.000118522
21,21.9116,2.38221,3.52061,1.11779,0,0,0,0,2.37441,3.78871,1.07178,0.0801208,0.0001208,0.0001208
22,22.9687,2.21707,3.37904,1.03617,0,0,0,0,2.37441,3.78871,1.07178,0.0791227,0.000122682,0.000122682
23,23.9593,2.48879,3.4806,1.03774,0,0,0,0,2.33048,3.72768,1.05513,0.0781242,0.000124168,0.000124168
24,24.9279,2.04477,3.3439,1.02358,0,0,0,0,2.33048,3.72768,1.05513,0.0771253,0.000125258,0.000125258
25,26.0326,2.31595,3.35895,1.0311,0,0,0,0,2.28963,3.66508,1.04389,0.076126,0.000125952,0.000125952
26,27.0011,2.00382,3.24606,1.09689,0,0,0,0,2.28963,3.66508,1.04389,0.0751263,0.00012625,0.00012625
27,28.0041,2.38889,3.29638,1.01064,0,0,0,0,2.27395,3.60374,1.04327,0.0741262,0.000126152,0.000126152
28,29.0293,2.35095,3.21495,1.03699,0,0,0,0,2.27395,3.60374,1.04327,0.0731257,0.000125658,0.000125658
29,30.0177,2.08139,3.16154,1.07012,0,0,0,0,2.30832,3.54891,1.04765,0.0721248,0.000124768,0.000124768
30,30.9989,2.10607,3.09143,1.04119,0,0,0,0,2.30832,3.54891,1.04765,0.0711235,0.000123482,0.000123482
31,32.0626,2.25139,3.14694,1.03638,0,0,0,0,2.35122,3.49897,1.05799,0.0701218,0.0001218,0.0001218
32,33.093,2.19842,3.05492,1.01225,0,0,0,0,2.35122,3.49897,1.05799,0.0691197,0.000119722,0.000119722
33,34.0462,2.0388,3.03661,1.05516,0,0,0,0,2.34855,3.45634,1.05352,0.0681172,0.000117248,0.000117248
34,35.1079,2.53875,3.04714,1.04071,0,0,0,0,2.34855,3.45634,1.05352,0.0671144,0.000114378,0.000114378
35,36.1612,2.26835,3.00095,1.03721,0,0,0,0,2.31184,3.41577,1.03858,0.0661111,0.000111112,0.000111112
36,37.1607,2.45389,3.02064,1.00529,0,0,0,0,2.31184,3.41577,1.03858,0.0651075,0.00010745,0.00010745
37,38.1125,1.85768,2.85808,1.04425,0,0,0,0,2.26872,3.37594,1.0353,0.0641034,0.000103392,0.000103392
38,39.0626,2.18948,2.89414,0.99807,0,0,0,0,2.26872,3.37594,1.0353,0.0630989,9.8938e-05,9.8938e-05
39,40.0135,1.87162,2.78691,1.01512,0,0,0,0,2.23022,3.3369,1.02926,0.0620941,9.4088e-05,9.4088e-05
40,40.9894,2.12221,2.86809,1.04404,0,0,0,0,2.23022,3.3369,1.02926,0.0610888,8.8842e-05,8.8842e-05
